"transcript","logFC","logCPM","LR","PValue","FDR","contrast","expression"
"TRINITY_DN36593_c0_g1_i1",1.774021393,5.15049153,13.85573464,0.000197393,0.002127985,"T1_vs_CTL","up"
"TRINITY_DN56776_c0_g1_i1",5.316916176,-0.967505071,13.84942477,0.000198057,0.00213299,"T1_vs_CTL","up"
"TRINITY_DN35783_c0_g1_i1",4.332962737,-0.69729782,13.84871504,0.000198132,0.00213299,"T1_vs_CTL","up"
"TRINITY_DN59479_c0_g1_i1",2.007337558,2.783566032,13.84769388,0.00019824,0.00213299,"T1_vs_CTL","up"
"TRINITY_DN55879_c0_g1_i1",5.316799969,-0.980514714,13.83922599,0.000199135,0.002141247,"T1_vs_CTL","up"
"TRINITY_DN29709_c0_g1_i1",5.357778841,-1.046614939,13.82811982,0.000200316,0.002151177,"T1_vs_CTL","up"
"TRINITY_DN43820_c1_g1_i1",1.768081125,6.050040983,13.82623997,0.000200516,0.00215195,"T1_vs_CTL","up"
"TRINITY_DN38999_c0_g1_i1",3.243292328,-0.171906841,13.82324768,0.000200836,0.002153999,"T1_vs_CTL","up"
"TRINITY_DN40159_c0_g1_i2",3.285260523,-0.73797808,13.80149952,0.000203174,0.002176289,"T1_vs_CTL","up"
"TRINITY_DN62674_c1_g1_i1",1.887748856,3.194936637,13.79349598,0.000204041,0.002184182,"T1_vs_CTL","up"
"TRINITY_DN7482_c0_g1_i2",2.08311478,2.30983416,13.78435344,0.000205037,0.002193435,"T1_vs_CTL","up"
"TRINITY_DN53022_c0_g1_i1",5.315262226,-1.062574284,13.77026294,0.00020658,0.002208537,"T1_vs_CTL","up"
"TRINITY_DN59157_c0_g1_i1",1.804030547,4.44277348,13.76097894,0.000207604,0.002214306,"T1_vs_CTL","up"
"TRINITY_DN61979_c1_g3_i1",2.99542571,-0.525125765,13.76057036,0.000207649,0.002214306,"T1_vs_CTL","up"
"TRINITY_DN61024_c0_g1_i1",2.959639546,-0.435346207,13.7291824,0.000211148,0.002243046,"T1_vs_CTL","up"
"TRINITY_DN35045_c0_g1_i1",1.76507893,5.471225385,13.72742613,0.000211346,0.002243721,"T1_vs_CTL","up"
"TRINITY_DN7181_c0_g1_i1",2.019939257,2.616061419,13.72497756,0.000211621,0.002245224,"T1_vs_CTL","up"
"TRINITY_DN824_c0_g1_i1",3.903732272,-0.555559021,13.69299621,0.000215256,0.002273698,"T1_vs_CTL","up"
"TRINITY_DN54363_c4_g1_i1",2.191731069,1.900434774,13.65004556,0.000220236,0.00231753,"T1_vs_CTL","up"
"TRINITY_DN70231_c0_g1_i1",5.309917276,-0.972295656,13.62583526,0.000223094,0.002346133,"T1_vs_CTL","up"
"TRINITY_DN64274_c0_g1_i1",2.361109426,0.842262093,13.61943375,0.000223856,0.002352668,"T1_vs_CTL","up"
"TRINITY_DN61507_c0_g1_i1",1.807343665,4.138565848,13.60264907,0.000225867,0.002369335,"T1_vs_CTL","up"
"TRINITY_DN62465_c1_g2_i1",3.247632545,-0.738155209,13.59646597,0.000226612,0.002375663,"T1_vs_CTL","up"
"TRINITY_DN50996_c0_g1_i1",1.915636364,3.03586426,13.58808729,0.000227625,0.002384797,"T1_vs_CTL","up"
"TRINITY_DN56252_c0_g1_i1",4.154922979,-0.863980427,13.58155444,0.000228419,0.002391301,"T1_vs_CTL","up"
"TRINITY_DN86034_c0_g1_i1",2.30344664,1.157250285,13.58062646,0.000228532,0.002391301,"T1_vs_CTL","up"
"TRINITY_DN58741_c0_g1_i1",1.765582931,5.053650883,13.57583269,0.000229116,0.002395919,"T1_vs_CTL","up"
"TRINITY_DN49841_c0_g1_i1",2.803413768,-0.043782724,13.57416175,0.00022932,0.002396147,"T1_vs_CTL","up"
"TRINITY_DN123435_c0_g1_i1",2.9824818,-0.488207963,13.57136147,0.000229663,0.002397141,"T1_vs_CTL","up"
"TRINITY_DN48751_c0_g1_i1",2.745735647,-0.127936339,13.52177845,0.000235811,0.002458247,"T1_vs_CTL","up"
"TRINITY_DN59805_c1_g1_i2",1.781654707,4.442667701,13.51517164,0.000236642,0.002465382,"T1_vs_CTL","up"
"TRINITY_DN45747_c0_g1_i1",2.122741449,1.972604839,13.50909624,0.00023741,0.002471838,"T1_vs_CTL","up"
"TRINITY_DN138588_c0_g1_i1",5.286061178,-0.961384406,13.5075173,0.00023761,0.002472381,"T1_vs_CTL","up"
"TRINITY_DN62308_c1_g2_i3",3.672399924,-1.070393966,13.47444442,0.000241835,0.002510104,"T1_vs_CTL","up"
"TRINITY_DN64891_c0_g2_i1",2.422212947,0.766992442,13.47229333,0.000242112,0.002511427,"T1_vs_CTL","up"
"TRINITY_DN41848_c0_g1_i2",4.419650512,-1.658419344,13.46972444,0.000242444,0.002511755,"T1_vs_CTL","up"
"TRINITY_DN51056_c0_g1_i1",1.9053713,2.955360144,13.46357903,0.000243239,0.002518437,"T1_vs_CTL","up"
"TRINITY_DN55292_c0_g1_i2",2.201143814,1.583760542,13.4603955,0.000243652,0.002521155,"T1_vs_CTL","up"
