"transcript","logFC","logCPM","LR","PValue","FDR","contrast","expression"
"TRINITY_DN58348_c94_g1_i1",11.42064558,8.774037292,226.2395666,3.94e-51,6.6e-47,"T1_vs_CTL","up"
"TRINITY_DN41876_c1_g1_i1",13.92716655,4.360619187,205.7162036,1.18e-46,9.89e-43,"T1_vs_CTL","up"
"TRINITY_DN65222_c12_g2_i4",8.489764429,4.367936954,152.688215,4.48e-35,1.5e-31,"T1_vs_CTL","up"
"TRINITY_DN54408_c0_g1_i2",7.765241893,8.034710259,148.5546124,3.59e-34,1e-30,"T1_vs_CTL","up"
"TRINITY_DN43718_c0_g1_i1",7.732693003,4.834846558,141.6420238,1.16e-32,2.79e-29,"T1_vs_CTL","up"
"TRINITY_DN51077_c0_g1_i2",7.497678413,8.851058304,139.2879033,3.81e-32,7.97e-29,"T1_vs_CTL","up"
"TRINITY_DN65055_c18_g1_i4",7.1026755,5.97842369,136.5721031,1.5e-31,2.78e-28,"T1_vs_CTL","up"
"TRINITY_DN65222_c12_g3_i1",7.526780403,3.91221677,130.9205355,2.58e-30,4.31e-27,"T1_vs_CTL","up"
"TRINITY_DN42783_c0_g1_i1",6.853706818,9.427902079,122.2415271,2.04e-28,2.63e-25,"T1_vs_CTL","up"
"TRINITY_DN57337_c1_g1_i1",6.669112202,9.180429915,118.1976012,1.57e-27,1.88e-24,"T1_vs_CTL","up"
"TRINITY_DN65055_c18_g1_i5",6.292319382,5.262479052,114.7483471,8.93e-27,9.35e-24,"T1_vs_CTL","up"
"TRINITY_DN16700_c0_g1_i1",7.23410645,3.775400869,111.7423254,4.07e-26,4.01e-23,"T1_vs_CTL","up"
"TRINITY_DN40817_c0_g1_i1",6.590089613,3.353149851,108.9309889,1.68e-25,1.44e-22,"T1_vs_CTL","up"
"TRINITY_DN48091_c0_g1_i2",7.97875516,3.506458627,108.8801291,1.72e-25,1.44e-22,"T1_vs_CTL","up"
"TRINITY_DN58120_c0_g1_i1",5.906790376,7.280732497,104.7920592,1.36e-24,1.03e-21,"T1_vs_CTL","up"
"TRINITY_DN50355_c0_g1_i1",6.129200552,3.904478781,99.44115457,2.02e-23,1.41e-20,"T1_vs_CTL","up"
"TRINITY_DN62917_c90_g1_i1",5.63731806,6.679620262,98.53207662,3.2e-23,2.14e-20,"T1_vs_CTL","up"
"TRINITY_DN6841_c0_g1_i1",5.90708682,10.72659301,96.65080057,8.27e-23,5.33e-20,"T1_vs_CTL","up"
"TRINITY_DN3621_c0_g1_i1",6.288577312,2.877339864,95.41106398,1.55e-22,9.59e-20,"T1_vs_CTL","up"
"TRINITY_DN62534_c21_g2_i6",5.938152938,12.55152811,94.61095378,2.32e-22,1.39e-19,"T1_vs_CTL","up"
"TRINITY_DN131393_c0_g1_i1",7.036979726,2.554018998,92.94294432,5.38e-22,3.11e-19,"T1_vs_CTL","up"
"TRINITY_DN58079_c33_g2_i6",5.38991334,6.450500661,92.35172069,7.26e-22,4.05e-19,"T1_vs_CTL","up"
"TRINITY_DN60496_c7_g1_i1",5.165163277,5.535974017,86.57495281,1.35e-20,6.83e-18,"T1_vs_CTL","up"
"TRINITY_DN37946_c0_g1_i1",6.140794865,2.561011459,86.3829378,1.48e-20,7.3e-18,"T1_vs_CTL","up"
"TRINITY_DN65055_c18_g1_i21",6.815316487,2.022241959,84.69941255,3.47e-20,1.62e-17,"T1_vs_CTL","up"
"TRINITY_DN1025_c0_g1_i1",5.172337353,8.820058692,82.58408419,1.01e-19,4.58e-17,"T1_vs_CTL","up"
"TRINITY_DN50826_c0_g1_i1",4.950900468,6.019835993,82.13475901,1.27e-19,5.6e-17,"T1_vs_CTL","up"
"TRINITY_DN57826_c0_g1_i2",9.796946418,0.977435706,76.0704735,2.74e-18,1.07e-15,"T1_vs_CTL","up"
"TRINITY_DN65055_c17_g2_i1",6.399455722,1.948609365,75.85523945,3.05e-18,1.14e-15,"T1_vs_CTL","up"
"TRINITY_DN49430_c0_g1_i1",4.697221315,5.290875363,75.36335304,3.92e-18,1.38e-15,"T1_vs_CTL","up"
"TRINITY_DN27616_c0_g1_i1",4.694661136,6.564438444,75.34511048,3.95e-18,1.38e-15,"T1_vs_CTL","up"
"TRINITY_DN60782_c0_g1_i3",8.30439154,1.258461902,74.87886083,5.01e-18,1.68e-15,"T1_vs_CTL","up"
"TRINITY_DN3193_c0_g1_i1",6.506764775,2.872447172,73.82039455,8.56e-18,2.81e-15,"T1_vs_CTL","up"
"TRINITY_DN38334_c0_g1_i1",4.673799293,4.866776118,72.87462345,1.38e-17,4.45e-15,"T1_vs_CTL","up"
"TRINITY_DN54195_c2_g1_i1",4.828984602,4.521785929,72.83627387,1.41e-17,4.45e-15,"T1_vs_CTL","up"
"TRINITY_DN94506_c0_g1_i1",4.674961145,4.057747096,71.69375068,2.51e-17,7.65e-15,"T1_vs_CTL","up"
"TRINITY_DN109110_c0_g1_i1",4.576909218,7.247936881,71.3733886,2.96e-17,8.84e-15,"T1_vs_CTL","up"
"TRINITY_DN65245_c5_g1_i1",8.151946611,1.034397489,70.16893878,5.44e-17,1.57e-14,"T1_vs_CTL","up"
"TRINITY_DN41598_c0_g1_i1",4.568478756,4.376396637,69.9028869,6.23e-17,1.77e-14,"T1_vs_CTL","up"
"TRINITY_DN45325_c0_g1_i1",4.536561959,4.975706356,69.83131286,6.46e-17,1.8e-14,"T1_vs_CTL","up"
"TRINITY_DN79946_c0_g1_i1",4.483645171,5.17142676,69.22972673,8.76e-17,2.37e-14,"T1_vs_CTL","up"
"TRINITY_DN5468_c0_g1_i1",4.705223208,10.89809399,68.46743401,1.29e-16,3.37e-14,"T1_vs_CTL","up"
"TRINITY_DN11564_c0_g1_i2",4.470495227,4.889895201,68.28995666,1.41e-16,3.58e-14,"T1_vs_CTL","up"
"TRINITY_DN48436_c2_g1_i1",4.419660077,7.120882744,67.83610875,1.78e-16,4.44e-14,"T1_vs_CTL","up"
"TRINITY_DN48738_c0_g1_i1",9.015142898,1.725860518,67.72460656,1.88e-16,4.63e-14,"T1_vs_CTL","up"
"TRINITY_DN56975_c0_g1_i1",5.590760733,1.91441213,67.39180333,2.23e-16,5.4e-14,"T1_vs_CTL","up"
"TRINITY_DN44147_c0_g1_i1",4.404355817,4.91056316,67.1565029,2.51e-16,6e-14,"T1_vs_CTL","up"
"TRINITY_DN50266_c0_g1_i1",4.468661068,8.342614768,66.94506836,2.79e-16,6.49e-14,"T1_vs_CTL","up"
"TRINITY_DN60826_c1_g1_i1",4.344924249,7.58933819,65.43805519,6e-16,1.34e-13,"T1_vs_CTL","up"
"TRINITY_DN39212_c0_g1_i1",4.251166286,5.090616484,63.96827017,1.26e-15,2.71e-13,"T1_vs_CTL","up"
"TRINITY_DN59803_c0_g1_i1",4.21643222,6.364610764,63.6672987,1.47e-15,3.12e-13,"T1_vs_CTL","up"
"TRINITY_DN108044_c10_g1_i1",4.482802443,11.54485302,62.82101963,2.26e-15,4.68e-13,"T1_vs_CTL","up"
"TRINITY_DN6843_c0_g1_i1",4.190613633,7.367761846,62.18289079,3.13e-15,6.31e-13,"T1_vs_CTL","up"
"TRINITY_DN10272_c0_g1_i1",4.192463553,5.316422994,61.87028377,3.67e-15,7.31e-13,"T1_vs_CTL","up"
"TRINITY_DN53949_c0_g1_i1",4.24187588,8.594017195,61.27854777,4.95e-15,9.76e-13,"T1_vs_CTL","up"
"TRINITY_DN58079_c33_g2_i2",4.254593376,8.936221857,60.97659895,5.78e-15,1.11e-12,"T1_vs_CTL","up"
"TRINITY_DN47240_c3_g1_i1",4.262294479,9.604781996,60.28335417,8.21e-15,1.56e-12,"T1_vs_CTL","up"
"TRINITY_DN34591_c0_g1_i1",5.146602761,2.452637502,60.26360944,8.3e-15,1.56e-12,"T1_vs_CTL","up"
"TRINITY_DN57738_c3_g1_i2",8.813992178,1.010645018,60.03713963,9.31e-15,1.73e-12,"T1_vs_CTL","up"
"TRINITY_DN53670_c0_g1_i3",4.61450707,2.881154732,59.98234316,9.57e-15,1.76e-12,"T1_vs_CTL","up"
"TRINITY_DN51711_c0_g1_i1",4.058964321,5.169803155,59.91252525,9.92e-15,1.8e-12,"T1_vs_CTL","up"
"TRINITY_DN5400_c0_g1_i1",4.093395135,5.235453014,59.55400032,1.19e-14,2.14e-12,"T1_vs_CTL","up"
"TRINITY_DN30335_c0_g1_i1",4.988862539,2.331335374,59.51606615,1.21e-14,2.16e-12,"T1_vs_CTL","up"
"TRINITY_DN32852_c0_g1_i1",4.156537306,8.859800415,58.86582609,1.69e-14,2.94e-12,"T1_vs_CTL","up"
"TRINITY_DN55456_c1_g1_i1",4.258720036,3.430641826,58.62391436,1.91e-14,3.26e-12,"T1_vs_CTL","up"
"TRINITY_DN25557_c0_g1_i1",6.020216129,1.166721816,58.05885718,2.54e-14,4.3e-12,"T1_vs_CTL","up"
"TRINITY_DN63594_c4_g1_i1",4.836998868,2.504539293,57.96060378,2.67e-14,4.43e-12,"T1_vs_CTL","up"
"TRINITY_DN61138_c0_g1_i1",5.316623672,1.785343977,57.84588542,2.83e-14,4.65e-12,"T1_vs_CTL","up"
"TRINITY_DN62921_c3_g2_i1",6.297985459,1.28467506,57.63509748,3.16e-14,5.08e-12,"T1_vs_CTL","up"
"TRINITY_DN57217_c7_g1_i1",4.132934636,4.011373806,56.78322818,4.87e-14,7.54e-12,"T1_vs_CTL","up"
"TRINITY_DN37682_c0_g1_i1",4.197716939,3.160575691,56.31889454,6.16e-14,9.38e-12,"T1_vs_CTL","up"
"TRINITY_DN65437_c0_g1_i1",4.019775178,8.378002358,56.15800188,6.69e-14,1.01e-11,"T1_vs_CTL","up"
"TRINITY_DN54747_c0_g1_i2",4.182687568,3.473063086,55.76983829,8.15e-14,1.22e-11,"T1_vs_CTL","up"
"TRINITY_DN53329_c0_g1_i1",3.858832875,5.525880256,55.26375493,1.05e-13,1.52e-11,"T1_vs_CTL","up"
"TRINITY_DN59053_c0_g1_i1",5.995431458,1.741853053,54.51746089,1.54e-13,2.19e-11,"T1_vs_CTL","up"
"TRINITY_DN47240_c1_g1_i2",5.617878764,2.299839522,54.3092827,1.71e-13,2.41e-11,"T1_vs_CTL","up"
"TRINITY_DN49353_c0_g1_i1",3.810174418,6.152757342,54.11565456,1.89e-13,2.64e-11,"T1_vs_CTL","up"
"TRINITY_DN47698_c1_g1_i2",4.382173284,2.803943381,54.05507326,1.95e-13,2.7e-11,"T1_vs_CTL","up"
"TRINITY_DN52164_c36_g1_i1",4.146202046,13.85982472,53.73331053,2.3e-13,3.15e-11,"T1_vs_CTL","up"
"TRINITY_DN54152_c0_g1_i1",4.271451565,5.60453638,53.54946808,2.52e-13,3.41e-11,"T1_vs_CTL","up"
"TRINITY_DN42997_c0_g1_i1",3.779730427,6.597535746,53.44285438,2.66e-13,3.57e-11,"T1_vs_CTL","up"
"TRINITY_DN56267_c1_g1_i1",3.781283731,6.058244558,53.34810879,2.79e-13,3.71e-11,"T1_vs_CTL","up"
"TRINITY_DN45002_c0_g1_i1",4.23114337,2.819595978,53.17067454,3.06e-13,4.03e-11,"T1_vs_CTL","up"
"TRINITY_DN29819_c0_g1_i1",4.194786974,3.275361012,53.13753523,3.11e-13,4.07e-11,"T1_vs_CTL","up"
"TRINITY_DN49939_c0_g1_i1",3.821910015,4.776954439,52.73157473,3.82e-13,4.96e-11,"T1_vs_CTL","up"
"TRINITY_DN45841_c0_g1_i1",5.911576295,1.108496298,52.69070385,3.9e-13,5.03e-11,"T1_vs_CTL","up"
"TRINITY_DN51929_c0_g1_i2",3.834587802,4.638086666,52.61775135,4.05e-13,5.18e-11,"T1_vs_CTL","up"
"TRINITY_DN64062_c1_g1_i1",3.790133481,7.809458777,52.17739461,5.07e-13,6.34e-11,"T1_vs_CTL","up"
"TRINITY_DN57217_c7_g2_i1",3.722211899,6.793981227,51.92090345,5.78e-13,7.17e-11,"T1_vs_CTL","up"
"TRINITY_DN53586_c0_g1_i1",8.60290195,0.261696448,51.77907397,6.21e-13,7.65e-11,"T1_vs_CTL","up"
"TRINITY_DN82084_c0_g1_i1",8.683428604,-0.053661223,51.14378923,8.58e-13,1.04e-10,"T1_vs_CTL","up"
"TRINITY_DN123182_c0_g1_i1",6.405029609,1.192443673,50.79875813,1.02e-12,1.23e-10,"T1_vs_CTL","up"
"TRINITY_DN46032_c0_g1_i1",3.739424095,7.910479938,50.44778482,1.22e-12,1.44e-10,"T1_vs_CTL","up"
"TRINITY_DN43222_c0_g1_i1",3.610109118,5.923499649,49.78601728,1.71e-12,1.98e-10,"T1_vs_CTL","up"
"TRINITY_DN36056_c0_g1_i1",3.706620228,4.151749832,49.64958071,1.84e-12,2.11e-10,"T1_vs_CTL","up"
"TRINITY_DN942_c0_g1_i1",3.666109876,6.987496199,49.60203729,1.88e-12,2.14e-10,"T1_vs_CTL","up"
"TRINITY_DN48911_c0_g1_i1",8.456785753,0.196341518,49.45238145,2.03e-12,2.3e-10,"T1_vs_CTL","up"
"TRINITY_DN54105_c0_g1_i1",3.722419686,4.099354643,49.11224325,2.42e-12,2.72e-10,"T1_vs_CTL","up"
"TRINITY_DN80807_c0_g1_i1",7.139101176,0.354290134,48.75798717,2.9e-12,3.21e-10,"T1_vs_CTL","up"
"TRINITY_DN54485_c0_g1_i1",3.591378553,6.449969178,48.71948338,2.95e-12,3.25e-10,"T1_vs_CTL","up"
"TRINITY_DN31648_c0_g1_i1",4.906924554,1.295149054,48.55864857,3.21e-12,3.48e-10,"T1_vs_CTL","up"
"TRINITY_DN41237_c0_g1_i1",8.416277273,0.10645664,48.4351472,3.41e-12,3.69e-10,"T1_vs_CTL","up"
"TRINITY_DN55307_c0_g1_i1",4.114630288,2.822949781,48.26575613,3.72e-12,3.97e-10,"T1_vs_CTL","up"
"TRINITY_DN65222_c12_g2_i5",3.654381501,3.774969406,48.09183904,4.07e-12,4.3e-10,"T1_vs_CTL","up"
"TRINITY_DN60980_c0_g1_i2",4.422328105,2.299404945,48.0858699,4.08e-12,4.3e-10,"T1_vs_CTL","up"
"TRINITY_DN60289_c3_g1_i1",3.672725008,4.366456157,47.9691702,4.33e-12,4.5e-10,"T1_vs_CTL","up"
"TRINITY_DN23956_c0_g1_i2",4.863166491,2.061614444,47.95871463,4.35e-12,4.5e-10,"T1_vs_CTL","up"
"TRINITY_DN49109_c0_g1_i1",3.773746341,3.744190872,47.83643858,4.63e-12,4.7e-10,"T1_vs_CTL","up"
"TRINITY_DN61467_c0_g1_i1",3.588795608,5.102598875,47.45965958,5.61e-12,5.63e-10,"T1_vs_CTL","up"
"TRINITY_DN46219_c0_g1_i1",5.703227906,0.621621009,47.38500801,5.83e-12,5.81e-10,"T1_vs_CTL","up"
"TRINITY_DN23956_c0_g1_i1",3.619822194,4.284313915,47.36055663,5.91e-12,5.85e-10,"T1_vs_CTL","up"
"TRINITY_DN4500_c0_g1_i1",8.357521997,0.027457859,47.26501498,6.2e-12,6.07e-10,"T1_vs_CTL","up"
"TRINITY_DN59053_c6_g1_i1",8.429170239,-0.163937382,47.17246066,6.5e-12,6.33e-10,"T1_vs_CTL","up"
"TRINITY_DN59803_c0_g2_i1",3.661189056,3.702806751,47.15523392,6.56e-12,6.35e-10,"T1_vs_CTL","up"
"TRINITY_DN57892_c0_g1_i2",3.6502379,3.817352225,47.10969719,6.71e-12,6.46e-10,"T1_vs_CTL","up"
"TRINITY_DN55739_c2_g1_i2",4.576560147,1.920174378,47.03063578,6.99e-12,6.67e-10,"T1_vs_CTL","up"
"TRINITY_DN64593_c1_g1_i1",5.548440854,1.681628134,47.02428465,7.01e-12,6.67e-10,"T1_vs_CTL","up"
"TRINITY_DN57168_c0_g1_i1",3.75834747,3.176082154,46.82842297,7.75e-12,7.33e-10,"T1_vs_CTL","up"
"TRINITY_DN47834_c1_g1_i1",3.713039779,11.43858161,46.43299067,9.48e-12,8.92e-10,"T1_vs_CTL","up"
"TRINITY_DN35255_c0_g1_i1",3.472123207,5.418372948,46.18973961,1.07e-11,9.98e-10,"T1_vs_CTL","up"
"TRINITY_DN42015_c0_g1_i1",3.433862365,5.655582485,45.78887404,1.32e-11,1.21e-09,"T1_vs_CTL","up"
"TRINITY_DN57761_c0_g1_i1",3.434316928,6.003159984,45.67865597,1.39e-11,1.27e-09,"T1_vs_CTL","up"
"TRINITY_DN53946_c0_g2_i1",3.464523071,4.667269826,45.31980665,1.67e-11,1.51e-09,"T1_vs_CTL","up"
"TRINITY_DN29806_c0_g1_i1",5.858887225,0.525236553,45.2763978,1.71e-11,1.54e-09,"T1_vs_CTL","up"
"TRINITY_DN65055_c18_g1_i10",3.468815177,4.407009332,45.24147826,1.74e-11,1.56e-09,"T1_vs_CTL","up"
"TRINITY_DN60776_c0_g2_i1",3.800461394,2.799149978,44.86503558,2.11e-11,1.86e-09,"T1_vs_CTL","up"
"TRINITY_DN41488_c0_g1_i3",4.436893878,2.109043728,44.83805575,2.14e-11,1.88e-09,"T1_vs_CTL","up"
"TRINITY_DN38830_c0_g1_i1",6.220858596,0.800644715,44.74301295,2.25e-11,1.96e-09,"T1_vs_CTL","up"
"TRINITY_DN49353_c0_g1_i2",3.467171093,8.013195366,44.65910768,2.35e-11,2.02e-09,"T1_vs_CTL","up"
"TRINITY_DN25243_c0_g1_i1",3.445266924,7.780795237,44.55270657,2.48e-11,2.13e-09,"T1_vs_CTL","up"
"TRINITY_DN54105_c1_g1_i1",3.520602481,3.827825338,44.29521527,2.82e-11,2.38e-09,"T1_vs_CTL","up"
"TRINITY_DN58079_c33_g2_i3",3.497538082,8.902488874,44.26436683,2.87e-11,2.4e-09,"T1_vs_CTL","up"
"TRINITY_DN26201_c0_g1_i1",3.607263089,11.47011132,44.23257021,2.92e-11,2.42e-09,"T1_vs_CTL","up"
"TRINITY_DN46533_c0_g1_i2",3.637778019,3.575016302,44.11812286,3.09e-11,2.55e-09,"T1_vs_CTL","up"
"TRINITY_DN29375_c0_g1_i1",3.436500167,4.26242405,43.76427785,3.7e-11,3.01e-09,"T1_vs_CTL","up"
"TRINITY_DN53447_c0_g1_i1",8.247561978,-0.400557156,43.43501975,4.38e-11,3.53e-09,"T1_vs_CTL","up"
"TRINITY_DN58567_c0_g2_i2",3.373752058,5.112601694,43.38246159,4.5e-11,3.61e-09,"T1_vs_CTL","up"
"TRINITY_DN23519_c2_g1_i1",8.106008857,-0.139569606,43.2094327,4.92e-11,3.92e-09,"T1_vs_CTL","up"
"TRINITY_DN55131_c0_g1_i1",3.33597121,5.382439824,42.87114572,5.85e-11,4.62e-09,"T1_vs_CTL","up"
"TRINITY_DN35982_c0_g1_i1",3.313396638,6.665692359,42.81774904,6.01e-11,4.72e-09,"T1_vs_CTL","up"
"TRINITY_DN40609_c0_g1_i1",3.622985345,3.20458482,42.78264857,6.12e-11,4.79e-09,"T1_vs_CTL","up"
"TRINITY_DN41262_c0_g1_i2",3.298837996,6.08681066,42.55871593,6.86e-11,5.34e-09,"T1_vs_CTL","up"
"TRINITY_DN43150_c0_g1_i2",3.312771946,5.202702322,42.4583407,7.22e-11,5.57e-09,"T1_vs_CTL","up"
"TRINITY_DN61574_c0_g3_i1",4.420648053,1.742444586,42.40334837,7.43e-11,5.7e-09,"T1_vs_CTL","up"
"TRINITY_DN52730_c0_g1_i6",3.545979758,3.803629185,42.35365355,7.62e-11,5.82e-09,"T1_vs_CTL","up"
"TRINITY_DN26213_c0_g1_i1",3.641308582,2.999454639,42.32764878,7.72e-11,5.87e-09,"T1_vs_CTL","up"
"TRINITY_DN16977_c0_g1_i1",3.792708199,2.658639821,42.14890892,8.46e-11,6.38e-09,"T1_vs_CTL","up"
"TRINITY_DN60145_c0_g1_i1",3.85497261,2.769956437,41.95048572,9.36e-11,7e-09,"T1_vs_CTL","up"
"TRINITY_DN1273_c0_g1_i1",7.905075731,-0.020507437,41.28047728,1.32e-10,9.81e-09,"T1_vs_CTL","up"
"TRINITY_DN26829_c0_g1_i1",3.396637124,9.910198894,41.21138484,1.37e-10,1.01e-08,"T1_vs_CTL","up"
"TRINITY_DN57734_c0_g1_i1",7.813552016,0.15271173,40.93314452,1.58e-10,1.16e-08,"T1_vs_CTL","up"
"TRINITY_DN123020_c0_g1_i1",6.762822257,-0.187233735,40.81739564,1.67e-10,1.22e-08,"T1_vs_CTL","up"
"TRINITY_DN29375_c0_g2_i1",3.262311819,4.575512466,40.79253753,1.69e-10,1.23e-08,"T1_vs_CTL","up"
"TRINITY_DN58079_c33_g2_i4",3.282166001,7.903834651,40.69000952,1.78e-10,1.29e-08,"T1_vs_CTL","up"
"TRINITY_DN56909_c0_g1_i3",7.900535898,-0.214125975,40.28446972,2.2e-10,1.58e-08,"T1_vs_CTL","up"
"TRINITY_DN51049_c0_g1_i2",4.497540141,1.831289168,40.27000892,2.21e-10,1.59e-08,"T1_vs_CTL","up"
"TRINITY_DN49961_c0_g1_i1",3.349412522,3.498492433,40.10722034,2.4e-10,1.71e-08,"T1_vs_CTL","up"
"TRINITY_DN35502_c0_g1_i1",3.177957788,5.830265674,40.09101852,2.42e-10,1.72e-08,"T1_vs_CTL","up"
"TRINITY_DN32505_c0_g1_i1",4.4400322,1.081671063,39.47011002,3.33e-10,2.32e-08,"T1_vs_CTL","up"
"TRINITY_DN27848_c0_g1_i1",7.913881866,-0.474699473,39.06476107,4.1e-10,2.84e-08,"T1_vs_CTL","up"
"TRINITY_DN55506_c0_g2_i1",4.403274729,1.171616043,39.04038322,4.15e-10,2.86e-08,"T1_vs_CTL","up"
"TRINITY_DN21304_c0_g1_i1",6.207454171,-0.278893807,38.99003253,4.26e-10,2.92e-08,"T1_vs_CTL","up"
"TRINITY_DN58081_c1_g1_i1",4.017195276,2.278663997,38.94747383,4.35e-10,2.98e-08,"T1_vs_CTL","up"
"TRINITY_DN52901_c0_g1_i2",3.760372711,2.437404402,38.81907593,4.65e-10,3.15e-08,"T1_vs_CTL","up"
"TRINITY_DN36600_c0_g1_i2",4.145250751,1.945161546,38.69656481,4.95e-10,3.33e-08,"T1_vs_CTL","up"
"TRINITY_DN57845_c0_g1_i2",3.149821999,4.94593276,38.51453659,5.43e-10,3.61e-08,"T1_vs_CTL","up"
"TRINITY_DN53689_c0_g1_i1",3.784140794,2.794148927,38.28006925,6.13e-10,4.04e-08,"T1_vs_CTL","up"
"TRINITY_DN55272_c2_g1_i1",3.578892711,2.698571025,38.17803211,6.46e-10,4.22e-08,"T1_vs_CTL","up"
"TRINITY_DN58444_c0_g1_i2",7.554649402,0.307771549,38.06719331,6.83e-10,4.45e-08,"T1_vs_CTL","up"
"TRINITY_DN53946_c0_g1_i1",3.07471405,5.294239786,37.76258833,7.99e-10,5.14e-08,"T1_vs_CTL","up"
"TRINITY_DN41704_c0_g2_i1",7.548228048,0.111139555,37.45344515,9.36e-10,5.96e-08,"T1_vs_CTL","up"
"TRINITY_DN136784_c0_g1_i1",3.067640566,5.813560209,37.40337077,9.61e-10,6.09e-08,"T1_vs_CTL","up"
"TRINITY_DN57761_c0_g1_i3",4.522770592,1.132931776,37.25722367,1.04e-09,6.54e-08,"T1_vs_CTL","up"
"TRINITY_DN57821_c59_g2_i2",3.215761007,10.69994121,36.96595243,1.2e-09,7.57e-08,"T1_vs_CTL","up"
"TRINITY_DN43790_c0_g1_i1",3.062022541,7.573263261,36.65417635,1.41e-09,8.84e-08,"T1_vs_CTL","up"
"TRINITY_DN98103_c0_g1_i1",7.775867656,-0.624088506,36.62984715,1.43e-09,8.92e-08,"T1_vs_CTL","up"
"TRINITY_DN59399_c0_g2_i1",7.575568554,-0.171580924,36.57893296,1.47e-09,9.12e-08,"T1_vs_CTL","up"
"TRINITY_DN55708_c0_g1_i1",3.183670029,3.708520803,36.50768393,1.52e-09,9.43e-08,"T1_vs_CTL","up"
"TRINITY_DN29061_c0_g1_i2",3.080714092,4.624344502,36.47556878,1.55e-09,9.55e-08,"T1_vs_CTL","up"
"TRINITY_DN51065_c1_g1_i2",3.014369755,6.25671535,36.40469156,1.6e-09,9.87e-08,"T1_vs_CTL","up"
"TRINITY_DN52164_c6_g1_i1",3.179662163,10.66704858,36.26530794,1.72e-09,1.06e-07,"T1_vs_CTL","up"
"TRINITY_DN58045_c0_g1_i1",4.013344662,1.35759208,36.2162377,1.77e-09,1.08e-07,"T1_vs_CTL","up"
"TRINITY_DN61914_c0_g1_i1",3.070669793,4.60878657,36.18287574,1.8e-09,1.09e-07,"T1_vs_CTL","up"
"TRINITY_DN65191_c0_g1_i2",3.228643929,3.146797211,36.00505269,1.97e-09,1.19e-07,"T1_vs_CTL","up"
"TRINITY_DN29579_c0_g1_i1",3.176497037,4.216233742,35.98840658,1.98e-09,1.19e-07,"T1_vs_CTL","up"
"TRINITY_DN58079_c33_g2_i1",3.171409036,10.95898318,35.88560341,2.09e-09,1.24e-07,"T1_vs_CTL","up"
"TRINITY_DN51052_c0_g1_i1",3.071656634,8.816548089,35.58092526,2.45e-09,1.44e-07,"T1_vs_CTL","up"
"TRINITY_DN31600_c0_g1_i1",3.614196662,2.200664407,35.52179012,2.52e-09,1.48e-07,"T1_vs_CTL","up"
"TRINITY_DN61564_c6_g1_i1",4.259105296,1.266895937,35.50114954,2.55e-09,1.48e-07,"T1_vs_CTL","up"
"TRINITY_DN47345_c0_g1_i2",7.76448235,-0.787887257,35.4670068,2.59e-09,1.5e-07,"T1_vs_CTL","up"
"TRINITY_DN29760_c0_g1_i1",2.991533098,7.373737096,35.32212992,2.79e-09,1.61e-07,"T1_vs_CTL","up"
"TRINITY_DN31052_c0_g1_i1",3.801894467,1.721031464,35.27755546,2.86e-09,1.64e-07,"T1_vs_CTL","up"
"TRINITY_DN138087_c0_g1_i1",7.748826756,-0.832940612,35.19892157,2.98e-09,1.71e-07,"T1_vs_CTL","up"
"TRINITY_DN43671_c0_g1_i1",3.07133918,3.797531127,35.09618649,3.14e-09,1.79e-07,"T1_vs_CTL","up"
"TRINITY_DN52290_c0_g1_i1",3.309350419,4.144621912,35.08829629,3.15e-09,1.79e-07,"T1_vs_CTL","up"
"TRINITY_DN43827_c0_g1_i1",2.923596177,6.062504014,34.62243075,4e-09,2.26e-07,"T1_vs_CTL","up"
"TRINITY_DN49462_c0_g1_i1",2.905638449,5.731882683,34.47401911,4.32e-09,2.44e-07,"T1_vs_CTL","up"
"TRINITY_DN49504_c0_g1_i1",5.386275124,-0.264163048,34.43142885,4.42e-09,2.48e-07,"T1_vs_CTL","up"
"TRINITY_DN45275_c0_g1_i1",5.398108606,0.117153016,34.42294667,4.43e-09,2.48e-07,"T1_vs_CTL","up"
"TRINITY_DN52432_c2_g1_i1",4.423625467,1.241606945,34.40040577,4.49e-09,2.5e-07,"T1_vs_CTL","up"
"TRINITY_DN50096_c0_g1_i1",2.920441784,5.394013172,34.39193926,4.51e-09,2.51e-07,"T1_vs_CTL","up"
"TRINITY_DN50315_c2_g1_i1",7.658936262,-0.830411519,34.26367574,4.81e-09,2.65e-07,"T1_vs_CTL","up"
"TRINITY_DN39625_c0_g1_i1",3.049213348,3.467051675,34.19380139,4.99e-09,2.73e-07,"T1_vs_CTL","up"
"TRINITY_DN56324_c5_g1_i1",3.044705864,9.979715352,34.14214637,5.12e-09,2.79e-07,"T1_vs_CTL","up"
"TRINITY_DN65202_c0_g1_i1",3.203633758,3.073811316,34.11305769,5.2e-09,2.83e-07,"T1_vs_CTL","up"
"TRINITY_DN62330_c0_g1_i1",2.911559283,4.933889475,33.86319327,5.91e-09,3.18e-07,"T1_vs_CTL","up"
"TRINITY_DN58020_c0_g1_i1",2.895598933,5.379926742,33.83923382,5.99e-09,3.21e-07,"T1_vs_CTL","up"
"TRINITY_DN61594_c3_g2_i1",2.979944263,8.689258963,33.83683451,5.99e-09,3.21e-07,"T1_vs_CTL","up"
