"transcript","logFC","logCPM","LR","PValue","FDR","contrast","expression"
"16787","TRINITY_DN26829_c0_g1_i1",4.500258021,9.910198894,65.26434233,6.55e-16,2.4e-13,"T2_vs_CTL","up"
"16788","TRINITY_DN61594_c3_g2_i1",4.419335805,8.689258963,65.2480411,6.6e-16,2.4e-13,"T2_vs_CTL","up"
"16789","TRINITY_DN65151_c2_g1_i1",-4.257493751,6.511114499,65.01958381,7.42e-16,2.64e-13,"T2_vs_CTL","down"
"16790","TRINITY_DN32042_c0_g1_i1",-4.257601519,5.0504352,64.43059846,1e-15,3.44e-13,"T2_vs_CTL","down"
"16791","TRINITY_DN53670_c0_g1_i3",4.814033506,2.881154732,64.41989909,1.01e-15,3.44e-13,"T2_vs_CTL","up"
"16792","TRINITY_DN7975_c0_g1_i1",-4.479117587,3.448214258,64.34905419,1.04e-15,3.49e-13,"T2_vs_CTL","down"
"16793","TRINITY_DN65294_c1_g2_i5",-4.281785676,4.70931329,64.26535888,1.09e-15,3.57e-13,"T2_vs_CTL","down"
"16794","TRINITY_DN49160_c0_g1_i1",-6.189255636,1.143166295,63.62151534,1.51e-15,4.85e-13,"T2_vs_CTL","down"
"16795","TRINITY_DN58079_c33_g2_i4",4.260090481,7.903834651,62.71664501,2.39e-15,7.54e-13,"T2_vs_CTL","up"
"16796","TRINITY_DN79946_c0_g1_i1",4.205250989,5.17142676,62.44366089,2.74e-15,8.5e-13,"T2_vs_CTL","up"
"16797","TRINITY_DN55756_c0_g1_i1",-4.835836701,2.603833258,62.37186177,2.84e-15,8.66e-13,"T2_vs_CTL","down"
"16798","TRINITY_DN61914_c0_g1_i1",4.212642928,4.60878657,62.08676284,3.29e-15,9.83e-13,"T2_vs_CTL","up"
"16799","TRINITY_DN58120_c0_g1_i1",4.148424362,7.280732497,60.88657224,6.05e-15,1.78e-12,"T2_vs_CTL","up"
"16800","TRINITY_DN61786_c1_g1_i1",-4.067276654,5.805553282,60.78343319,6.37e-15,1.84e-12,"T2_vs_CTL","down"
"16801","TRINITY_DN43228_c0_g1_i1",-4.724807644,2.533988933,60.17302948,8.69e-15,2.47e-12,"T2_vs_CTL","down"
"16802","TRINITY_DN35800_c0_g1_i1",4.524562002,2.8442542,58.83213355,1.72e-14,4.79e-12,"T2_vs_CTL","up"
"16803","TRINITY_DN42477_c0_g1_i1",-4.063433366,4.30132804,58.52334065,2.01e-14,5.47e-12,"T2_vs_CTL","down"
"16804","TRINITY_DN11564_c0_g1_i2",4.063279732,4.889895201,58.47180645,2.06e-14,5.47e-12,"T2_vs_CTL","up"
"16805","TRINITY_DN46093_c0_g1_i1",-4.269468166,11.23157656,58.45706021,2.08e-14,5.47e-12,"T2_vs_CTL","down"
"16806","TRINITY_DN48738_c0_g1_i1",8.465031642,1.725860518,58.44554416,2.09e-14,5.47e-12,"T2_vs_CTL","up"
"16807","TRINITY_DN60028_c1_g1_i1",-4.138501598,3.607165811,58.15264726,2.43e-14,6.25e-12,"T2_vs_CTL","down"
