"transcript","logFC","logCPM","LR","PValue","FDR","contrast","expression"
"244","TRINITY_DN21304_c0_g1_i1",6.207454171,-0.278893807,38.99003253,4.26e-10,2.92e-08,"T1_vs_CTL","up"
"257","TRINITY_DN58444_c0_g1_i2",7.554649402,0.307771549,38.06719331,6.83e-10,4.45e-08,"T1_vs_CTL","up"
"263","TRINITY_DN41704_c0_g2_i1",7.548228048,0.111139555,37.45344515,9.36e-10,5.96e-08,"T1_vs_CTL","up"
"268","TRINITY_DN98103_c0_g1_i1",7.775867656,-0.624088506,36.62984715,1.43e-09,8.92e-08,"T1_vs_CTL","up"
"269","TRINITY_DN59399_c0_g2_i1",7.575568554,-0.171580924,36.57893296,1.47e-09,9.12e-08,"T1_vs_CTL","up"
"289","TRINITY_DN47345_c0_g1_i2",7.76448235,-0.787887257,35.4670068,2.59e-09,1.5e-07,"T1_vs_CTL","up"
"292","TRINITY_DN138087_c0_g1_i1",7.748826756,-0.832940612,35.19892157,2.98e-09,1.71e-07,"T1_vs_CTL","up"
"298","TRINITY_DN49504_c0_g1_i1",5.386275124,-0.264163048,34.43142885,4.42e-09,2.48e-07,"T1_vs_CTL","up"
"299","TRINITY_DN45275_c0_g1_i1",5.398108606,0.117153016,34.42294667,4.43e-09,2.48e-07,"T1_vs_CTL","up"
"304","TRINITY_DN50315_c2_g1_i1",7.658936262,-0.830411519,34.26367574,4.81e-09,2.65e-07,"T1_vs_CTL","up"
"334","TRINITY_DN39331_c0_g1_i1",5.779880011,0.916049652,32.91398253,9.63e-09,4.83e-07,"T1_vs_CTL","up"
"348","TRINITY_DN46561_c0_g1_i1",5.421627648,-0.340469121,32.31403922,1.31e-08,6.31e-07,"T1_vs_CTL","up"
"359","TRINITY_DN43171_c0_g1_i1",5.108272456,0.400656551,31.71986042,1.78e-08,8.31e-07,"T1_vs_CTL","up"
"368","TRINITY_DN65087_c6_g1_i1",7.297042789,-0.683363068,31.27139142,2.24e-08,1.02e-06,"T1_vs_CTL","up"
"373","TRINITY_DN57948_c0_g1_i2",7.389881933,-0.933474001,31.176985,2.36e-08,1.06e-06,"T1_vs_CTL","up"
"381","TRINITY_DN57887_c0_g1_i1",7.109482182,-0.362712659,30.70314863,3.01e-08,1.32e-06,"T1_vs_CTL","up"
"389","TRINITY_DN60323_c2_g2_i1",5.360043808,0.067843913,30.31905637,3.67e-08,1.58e-06,"T1_vs_CTL","up"
"396","TRINITY_DN64327_c3_g2_i1",7.290552706,-1.02272198,30.0779611,4.15e-08,1.75e-06,"T1_vs_CTL","up"
"404","TRINITY_DN79353_c0_g1_i1",7.277344594,-1.079141294,29.72910514,4.97e-08,2.06e-06,"T1_vs_CTL","up"
"409","TRINITY_DN5717_c0_g1_i1",7.105856535,-0.648898426,29.53038705,5.5e-08,2.25e-06,"T1_vs_CTL","up"
"410","TRINITY_DN54364_c0_g1_i1",7.07306633,-0.549845976,29.52285643,5.53e-08,2.26e-06,"T1_vs_CTL","up"
"416","TRINITY_DN48028_c0_g1_i1",6.885361686,-0.037035531,29.3204031,6.13e-08,2.47e-06,"T1_vs_CTL","up"
"419","TRINITY_DN55479_c0_g1_i4",5.328498882,-0.700551871,29.11857858,6.81e-08,2.72e-06,"T1_vs_CTL","up"
"423","TRINITY_DN36494_c0_g1_i1",6.783866137,0.324198633,28.93498806,7.48e-08,2.96e-06,"T1_vs_CTL","up"
"428","TRINITY_DN35881_c0_g1_i1",7.181476114,-1.120356789,28.75316171,8.22e-08,3.22e-06,"T1_vs_CTL","up"
"436","TRINITY_DN26902_c0_g1_i1",7.188503595,-1.178650377,28.60517897,8.87e-08,3.4e-06,"T1_vs_CTL","up"
"441","TRINITY_DN50604_c0_g1_i3",6.964963344,-0.577084394,28.38739974,9.93e-08,3.77e-06,"T1_vs_CTL","up"
"443","TRINITY_DN63509_c1_g1_i7",5.295498584,-0.272087506,28.32235425,1.03e-07,3.88e-06,"T1_vs_CTL","up"
"450","TRINITY_DN33909_c0_g1_i1",6.919287926,-0.501596166,28.11409224,1.14e-07,4.26e-06,"T1_vs_CTL","up"
"471","TRINITY_DN63283_c0_g1_i12",6.728670885,-0.148175104,27.32893519,1.72e-07,6.09e-06,"T1_vs_CTL","up"
"480","TRINITY_DN14953_c0_g1_i1",6.962019626,-0.938941738,27.10163316,1.93e-07,6.73e-06,"T1_vs_CTL","up"
"491","TRINITY_DN80364_c0_g1_i1",6.551601273,0.476063009,26.87467517,2.17e-07,7.4e-06,"T1_vs_CTL","up"
"514","TRINITY_DN38687_c0_g1_i1",6.966835339,-1.299046726,26.24354421,3.01e-07,9.8e-06,"T1_vs_CTL","up"
"516","TRINITY_DN29679_c0_g1_i1",6.715795115,-0.474036288,26.23287582,3.03e-07,9.82e-06,"T1_vs_CTL","up"
"519","TRINITY_DN95363_c0_g1_i2",6.431058333,0.81722821,26.18814074,3.1e-07,9.99e-06,"T1_vs_CTL","up"
"533","TRINITY_DN59001_c0_g2_i1",6.712674218,-0.60987397,25.76885327,3.85e-07,1.21e-05,"T1_vs_CTL","up"
"535","TRINITY_DN6687_c0_g1_i1",6.468249268,0.444119191,25.74261579,3.9e-07,1.22e-05,"T1_vs_CTL","up"
"542","TRINITY_DN47759_c1_g1_i2",6.788210888,-0.925853233,25.50216264,4.42e-07,1.36e-05,"T1_vs_CTL","up"
"549","TRINITY_DN36307_c0_g1_i1",5.7209411,-0.999223775,25.38037761,4.71e-07,1.43e-05,"T1_vs_CTL","up"
"552","TRINITY_DN57353_c1_g1_i1",6.570474181,-0.30369034,25.35094972,4.78e-07,1.45e-05,"T1_vs_CTL","up"
"560","TRINITY_DN47122_c1_g1_i1",6.762914405,-0.977711653,25.18593325,5.21e-07,1.56e-05,"T1_vs_CTL","up"
"569","TRINITY_DN7996_c0_g1_i1",6.42876699,0.228869508,24.93757781,5.92e-07,1.74e-05,"T1_vs_CTL","up"
"578","TRINITY_DN51776_c0_g1_i3",6.481342132,-0.142484207,24.69836403,6.7e-07,1.94e-05,"T1_vs_CTL","up"
"581","TRINITY_DN60496_c0_g1_i1",5.548653763,-0.671220671,24.67487922,6.79e-07,1.96e-05,"T1_vs_CTL","up"
"588","TRINITY_DN99606_c0_g1_i1",6.39749055,0.252569785,24.60268002,7.05e-07,2.01e-05,"T1_vs_CTL","up"
"592","TRINITY_DN65998_c0_g1_i1",6.785286672,-1.384981338,24.54049404,7.28e-07,2.06e-05,"T1_vs_CTL","up"
"595","TRINITY_DN34151_c0_g1_i1",5.220784666,-1.070739554,24.52247282,7.34e-07,2.07e-05,"T1_vs_CTL","up"
"599","TRINITY_DN31560_c0_g1_i1",6.783136714,-1.540059841,24.41704623,7.76e-07,2.17e-05,"T1_vs_CTL","up"
"604","TRINITY_DN46061_c0_g1_i1",6.725665737,-1.2462263,24.34345933,8.06e-07,2.23e-05,"T1_vs_CTL","up"
"618","TRINITY_DN89719_c0_g1_i1",6.542237563,-0.568242434,24.15122249,8.91e-07,2.41e-05,"T1_vs_CTL","up"
"627","TRINITY_DN49098_c0_g1_i3",5.428739481,-1.209476944,24.04829872,9.39e-07,2.51e-05,"T1_vs_CTL","up"
"630","TRINITY_DN54928_c0_g1_i2",6.429026275,-0.300699939,23.98935627,9.69e-07,2.57e-05,"T1_vs_CTL","up"
"636","TRINITY_DN39405_c0_g1_i1",6.387437096,-0.155117264,23.87550882,1.03e-06,2.71e-05,"T1_vs_CTL","up"
"640","TRINITY_DN21187_c0_g1_i1",5.561166062,-0.891742898,23.76970636,1.09e-06,2.84e-05,"T1_vs_CTL","up"
"644","TRINITY_DN19912_c0_g1_i1",6.66882019,-1.28240577,23.73394641,1.11e-06,2.87e-05,"T1_vs_CTL","up"
"658","TRINITY_DN37830_c0_g1_i1",5.235971362,0.025701282,23.60198227,1.18e-06,3.01e-05,"T1_vs_CTL","up"
"670","TRINITY_DN7345_c0_g1_i1",6.603525935,-1.201467823,23.44213206,1.29e-06,3.22e-05,"T1_vs_CTL","up"
"672","TRINITY_DN38635_c0_g1_i1",6.629929511,-1.321524639,23.40937251,1.31e-06,3.26e-05,"T1_vs_CTL","up"
"673","TRINITY_DN33308_c0_g1_i2",6.59429241,-1.127595729,23.40395654,1.31e-06,3.27e-05,"T1_vs_CTL","up"
"677","TRINITY_DN11721_c0_g1_i1",5.073329529,-0.775031713,23.21464838,1.45e-06,3.58e-05,"T1_vs_CTL","up"
"681","TRINITY_DN56394_c0_g1_i1",5.557866882,-1.285154897,23.14910706,1.5e-06,3.69e-05,"T1_vs_CTL","up"
"682","TRINITY_DN17581_c0_g1_i1",6.616099845,-1.523343288,23.11744432,1.52e-06,3.74e-05,"T1_vs_CTL","up"
"688","TRINITY_DN49398_c0_g1_i1",6.555098673,-1.193400679,23.0375884,1.59e-06,3.87e-05,"T1_vs_CTL","up"
"698","TRINITY_DN800_c0_g1_i1",6.597537738,-1.460497798,22.88154582,1.72e-06,4.13e-05,"T1_vs_CTL","up"
"707","TRINITY_DN43391_c0_g1_i1",6.367221205,-0.552746465,22.70416874,1.89e-06,4.47e-05,"T1_vs_CTL","up"
"717","TRINITY_DN37687_c0_g1_i1",6.545083957,-1.426830484,22.51861106,2.08e-06,4.86e-05,"T1_vs_CTL","up"
"737","TRINITY_DN111848_c0_g1_i1",6.407214323,-0.99368453,22.09748383,2.59e-06,5.89e-05,"T1_vs_CTL","up"
"750","TRINITY_DN45329_c0_g1_i1",6.491832389,-1.716748346,21.88649791,2.89e-06,6.45e-05,"T1_vs_CTL","up"
"756","TRINITY_DN27578_c0_g2_i1",6.288288552,-0.601716159,21.79568342,3.03e-06,6.72e-05,"T1_vs_CTL","up"
"759","TRINITY_DN96485_c0_g1_i1",6.435026265,-1.231629784,21.77293094,3.07e-06,6.77e-05,"T1_vs_CTL","up"
"765","TRINITY_DN47759_c1_g1_i1",6.357506664,-0.956024546,21.6407321,3.29e-06,7.2e-05,"T1_vs_CTL","up"
"766","TRINITY_DN43999_c1_g1_i1",5.37528402,-1.281215201,21.63489477,3.3e-06,7.2e-05,"T1_vs_CTL","up"
"773","TRINITY_DN56693_c0_g1_i1",6.249976254,-0.619783535,21.54694173,3.45e-06,7.48e-05,"T1_vs_CTL","up"
"793","TRINITY_DN21917_c0_g1_i1",6.380496838,-1.512085218,21.13746017,4.27e-06,9.03e-05,"T1_vs_CTL","up"
"810","TRINITY_DN40911_c0_g1_i1",6.351721588,-1.473980399,20.96324853,4.68e-06,9.68e-05,"T1_vs_CTL","up"
"814","TRINITY_DN43316_c0_g1_i1",6.349848498,-1.378447439,20.88655366,4.87e-06,0.000100226,"T1_vs_CTL","up"
"825","TRINITY_DN56513_c0_g1_i1",6.134110187,-0.508253478,20.75542895,5.22e-06,0.000105898,"T1_vs_CTL","up"
"827","TRINITY_DN42061_c0_g1_i1",5.052658075,-0.443510509,20.73247465,5.28e-06,0.000106915,"T1_vs_CTL","up"
"837","TRINITY_DN139116_c0_g1_i1",6.306199877,-1.328040992,20.61417598,5.62e-06,0.000112371,"T1_vs_CTL","up"
"857","TRINITY_DN6558_c0_g1_i1",5.240098323,-1.410933887,20.23210679,6.86e-06,0.000133811,"T1_vs_CTL","up"
"890","TRINITY_DN47605_c0_g2_i1",6.212738795,-1.519322143,19.83137421,8.46e-06,0.000159111,"T1_vs_CTL","up"
"894","TRINITY_DN38496_c0_g1_i1",6.180819469,-1.337140703,19.74027753,8.87e-06,0.000166131,"T1_vs_CTL","up"
"918","TRINITY_DN45056_c0_g1_i1",6.163314449,-1.476182502,19.4504916,1.03e-05,0.000188286,"T1_vs_CTL","up"
"935","TRINITY_DN50920_c0_g1_i1",6.110514698,-1.245433132,19.22709121,1.16e-05,0.000207806,"T1_vs_CTL","up"
"936","TRINITY_DN61288_c1_g2_i1",5.913476807,-0.279552368,19.22254671,1.16e-05,0.000208003,"T1_vs_CTL","up"
"955","TRINITY_DN36645_c0_g1_i1",6.099944183,-1.249579139,19.05600177,1.27e-05,0.000222533,"T1_vs_CTL","up"
"962","TRINITY_DN42921_c0_g1_i2",6.095080685,-1.438472935,18.93779657,1.35e-05,0.000235033,"T1_vs_CTL","up"
"963","TRINITY_DN80105_c0_g1_i1",6.074669698,-1.222332576,18.92645232,1.36e-05,0.000236189,"T1_vs_CTL","up"
"979","TRINITY_DN58975_c0_g1_i1",5.934729262,-0.518178599,18.77550771,1.47e-05,0.000251461,"T1_vs_CTL","up"
"983","TRINITY_DN3471_c0_g1_i1",6.060007281,-1.442034394,18.70518018,1.53e-05,0.000259743,"T1_vs_CTL","up"
"998","TRINITY_DN50477_c1_g2_i1",6.026351381,-1.302275005,18.5916918,1.62e-05,0.000271638,"T1_vs_CTL","up"
"1037","TRINITY_DN53957_c0_g1_i1",5.95619518,-1.041370939,18.19701952,1.99e-05,0.000321586,"T1_vs_CTL","up"
"1039","TRINITY_DN97763_c0_g1_i1",5.861830249,-0.596562558,18.19173806,2e-05,0.000321858,"T1_vs_CTL","up"
"1073","TRINITY_DN42580_c0_g1_i2",5.927576704,-1.231291456,17.85222471,2.39e-05,0.000372195,"T1_vs_CTL","up"
"1074","TRINITY_DN123952_c0_g1_i1",5.891497906,-1.037233401,17.85203835,2.39e-05,0.000372195,"T1_vs_CTL","up"
"1110","TRINITY_DN63703_c3_g1_i1",5.719694966,-0.470274847,17.4653553,2.93e-05,0.000441312,"T1_vs_CTL","up"
"1173","TRINITY_DN64179_c1_g1_i1",5.776915815,-1.184774509,16.73375641,4.3e-05,0.000613858,"T1_vs_CTL","up"
"1248","TRINITY_DN50666_c0_g1_i3",5.676300677,-1.412924885,15.93784174,6.55e-05,0.000877524,"T1_vs_CTL","up"
"1258","TRINITY_DN42048_c0_g1_i1",5.675818374,-1.571915981,15.85898807,6.82e-05,0.000907531,"T1_vs_CTL","up"
"1265","TRINITY_DN113352_c0_g1_i1",5.582730978,-0.768703911,15.84029185,6.89e-05,0.000912131,"T1_vs_CTL","up"
"1273","TRINITY_DN33566_c0_g1_i1",5.661557637,-1.323124675,15.77068146,7.15e-05,0.000940366,"T1_vs_CTL","up"
"1331","TRINITY_DN64908_c0_g1_i5",5.49848136,-0.65184895,15.3630155,8.87e-05,0.001115811,"T1_vs_CTL","up"
"1337","TRINITY_DN45125_c0_g1_i1",5.490524837,-0.507175068,15.32832817,9.04e-05,0.001130746,"T1_vs_CTL","up"
"1346","TRINITY_DN3238_c1_g1_i1",5.560598269,-1.11874147,15.23763194,9.48e-05,0.001178298,"T1_vs_CTL","up"
"1401","TRINITY_DN108055_c0_g1_i1",5.494595472,-1.023011073,14.78223464,0.000120667,0.001441974,"T1_vs_CTL","up"
"1407","TRINITY_DN98287_c0_g1_i1",5.453870322,-0.971744685,14.75847158,0.000122197,0.001453501,"T1_vs_CTL","up"
"1413","TRINITY_DN51841_c0_g1_i1",5.24936039,0.724414393,14.72682586,0.000124266,0.001472367,"T1_vs_CTL","up"
"1468","TRINITY_DN28444_c0_g1_i1",5.476904168,-1.469610888,14.3716426,0.000150045,0.001711208,"T1_vs_CTL","up"
"1496","TRINITY_DN57966_c0_g1_i1",5.363287813,-0.834281695,14.19718325,0.000164617,0.001842255,"T1_vs_CTL","up"
"1554","TRINITY_DN56776_c0_g1_i1",5.316916176,-0.967505071,13.84942477,0.000198057,0.00213299,"T1_vs_CTL","up"
"1557","TRINITY_DN55879_c0_g1_i1",5.316799969,-0.980514714,13.83922599,0.000199135,0.002141247,"T1_vs_CTL","up"
"1559","TRINITY_DN29709_c0_g1_i1",5.357778841,-1.046614939,13.82811982,0.000200316,0.002151177,"T1_vs_CTL","up"
"1566","TRINITY_DN53022_c0_g1_i1",5.315262226,-1.062574284,13.77026294,0.00020658,0.002208537,"T1_vs_CTL","up"
"1592","TRINITY_DN70231_c0_g1_i1",5.309917276,-0.972295656,13.62583526,0.000223094,0.002346133,"T1_vs_CTL","up"
"1609","TRINITY_DN138588_c0_g1_i1",5.286061178,-0.961384406,13.5075173,0.00023761,0.002472381,"T1_vs_CTL","up"
"1649","TRINITY_DN26622_c0_g1_i1",5.282377161,-1.174856733,13.3383873,0.000260028,0.002640016,"T1_vs_CTL","up"
"1683","TRINITY_DN18751_c0_g1_i1",5.259417489,-1.278721394,13.14564228,0.000288189,0.002866818,"T1_vs_CTL","up"
"1700","TRINITY_DN56425_c0_g1_i2",5.189926625,-0.908031019,13.04677139,0.000303808,0.002991435,"T1_vs_CTL","up"
"1709","TRINITY_DN45974_c0_g1_i1",5.227179245,-0.960156428,12.99832887,0.000311769,0.003054206,"T1_vs_CTL","up"
"1790","TRINITY_DN38030_c0_g2_i1",5.126438681,-0.962708724,12.49000551,0.000409135,0.003826669,"T1_vs_CTL","up"
"1797","TRINITY_DN21472_c0_g1_i1",5.151563232,-1.198066384,12.46762233,0.000414067,0.003856957,"T1_vs_CTL","up"
"1824","TRINITY_DN48658_c0_g1_i1",5.124205792,-1.151182264,12.36400381,0.000437691,0.004017447,"T1_vs_CTL","up"
"1980","TRINITY_DN124614_c0_g1_i1",5.027605188,-1.199739019,11.65449862,0.000640475,0.005415001,"T1_vs_CTL","up"
"2028","TRINITY_DN79631_c0_g1_i1",5.001368078,-1.384426929,11.44645947,0.000716304,0.005913389,"T1_vs_CTL","up"
"16744","TRINITY_DN54152_c0_g1_i1",7.907355776,5.60453638,146.7497004,8.9e-34,7.45e-30,"T2_vs_CTL","up"
"16746","TRINITY_DN65437_c0_g1_i1",6.869410593,8.378002358,125.9243694,3.19e-29,1.34e-25,"T2_vs_CTL","up"
"16747","TRINITY_DN942_c0_g1_i1",6.584172585,6.987496199,122.9322919,1.44e-28,4.83e-25,"T2_vs_CTL","up"
"16749","TRINITY_DN48091_c0_g1_i2",8.413236748,3.506458627,119.8448687,6.84e-28,1.64e-24,"T2_vs_CTL","up"
"16752","TRINITY_DN58005_c0_g1_i1",6.634807576,3.679139416,111.7934292,3.97e-26,6.64e-23,"T2_vs_CTL","up"
"16753","TRINITY_DN5468_c0_g1_i1",6.157425124,10.89809399,102.1838231,5.06e-24,7.7e-21,"T2_vs_CTL","up"
"16756","TRINITY_DN1025_c0_g1_i1",5.760724479,8.820058692,96.92454876,7.2e-23,8.61e-20,"T2_vs_CTL","up"
"16758","TRINITY_DN52164_c36_g1_i1",5.791898632,13.85982472,89.61400708,2.89e-21,3.03e-18,"T2_vs_CTL","up"
"16761","TRINITY_DN108044_c10_g1_i1",5.544825165,11.54485302,86.84128957,1.18e-20,1.04e-17,"T2_vs_CTL","up"
"16766","TRINITY_DN54195_c2_g1_i1",5.209341356,4.521785929,82.33991961,1.15e-19,7.99e-17,"T2_vs_CTL","up"
"16770","TRINITY_DN26201_c0_g1_i1",5.192637598,11.47011132,78.86222586,6.66e-19,3.98e-16,"T2_vs_CTL","up"
"16773","TRINITY_DN47834_c1_g1_i1",5.000332228,11.43858161,74.52348348,5.99e-18,3.24e-15,"T2_vs_CTL","up"
"16774","TRINITY_DN64593_c1_g1_i1",7.027727094,1.681628134,73.95128917,8.01e-18,4.19e-15,"T2_vs_CTL","up"
"16775","TRINITY_DN47240_c1_g1_i2",6.598545039,2.299839522,73.74917245,8.87e-18,4.5e-15,"T2_vs_CTL","up"
"16776","TRINITY_DN52290_c0_g1_i1",5.02005696,4.144621912,73.61632109,9.49e-18,4.67e-15,"T2_vs_CTL","up"
"16778","TRINITY_DN53689_c0_g1_i1",5.280559952,2.794148927,69.36494665,8.18e-17,3.81e-14,"T2_vs_CTL","up"
