"transcript","logFC","logCPM","LR","PValue","FDR","contrast","expression"
"1","TRINITY_DN58348_c94_g1_i1",11.42064558,8.774037292,226.2395666,3.94e-51,6.6e-47,"T1_vs_CTL","up"
"2","TRINITY_DN41876_c1_g1_i1",13.92716655,4.360619187,205.7162036,1.18e-46,9.89e-43,"T1_vs_CTL","up"
"5","TRINITY_DN65222_c12_g2_i4",8.489764429,4.367936954,152.688215,4.48e-35,1.5e-31,"T1_vs_CTL","up"
"6","TRINITY_DN54408_c0_g1_i2",7.765241893,8.034710259,148.5546124,3.59e-34,1e-30,"T1_vs_CTL","up"
"7","TRINITY_DN43718_c0_g1_i1",7.732693003,4.834846558,141.6420238,1.16e-32,2.79e-29,"T1_vs_CTL","up"
"8","TRINITY_DN51077_c0_g1_i2",7.497678413,8.851058304,139.2879033,3.81e-32,7.97e-29,"T1_vs_CTL","up"
"9","TRINITY_DN65055_c18_g1_i4",7.1026755,5.97842369,136.5721031,1.5e-31,2.78e-28,"T1_vs_CTL","up"
"10","TRINITY_DN65222_c12_g3_i1",7.526780403,3.91221677,130.9205355,2.58e-30,4.31e-27,"T1_vs_CTL","up"
"13","TRINITY_DN42783_c0_g1_i1",6.853706818,9.427902079,122.2415271,2.04e-28,2.63e-25,"T1_vs_CTL","up"
"14","TRINITY_DN57337_c1_g1_i1",6.669112202,9.180429915,118.1976012,1.57e-27,1.88e-24,"T1_vs_CTL","up"
"16","TRINITY_DN65055_c18_g1_i5",6.292319382,5.262479052,114.7483471,8.93e-27,9.35e-24,"T1_vs_CTL","up"
"17","TRINITY_DN16700_c0_g1_i1",7.23410645,3.775400869,111.7423254,4.07e-26,4.01e-23,"T1_vs_CTL","up"
"19","TRINITY_DN40817_c0_g1_i1",6.590089613,3.353149851,108.9309889,1.68e-25,1.44e-22,"T1_vs_CTL","up"
"20","TRINITY_DN48091_c0_g1_i2",7.97875516,3.506458627,108.8801291,1.72e-25,1.44e-22,"T1_vs_CTL","up"
"22","TRINITY_DN58120_c0_g1_i1",5.906790376,7.280732497,104.7920592,1.36e-24,1.03e-21,"T1_vs_CTL","up"
"24","TRINITY_DN50355_c0_g1_i1",6.129200552,3.904478781,99.44115457,2.02e-23,1.41e-20,"T1_vs_CTL","up"
"25","TRINITY_DN62917_c90_g1_i1",5.63731806,6.679620262,98.53207662,3.2e-23,2.14e-20,"T1_vs_CTL","up"
"26","TRINITY_DN6841_c0_g1_i1",5.90708682,10.72659301,96.65080057,8.27e-23,5.33e-20,"T1_vs_CTL","up"
"27","TRINITY_DN3621_c0_g1_i1",6.288577312,2.877339864,95.41106398,1.55e-22,9.59e-20,"T1_vs_CTL","up"
"28","TRINITY_DN62534_c21_g2_i6",5.938152938,12.55152811,94.61095378,2.32e-22,1.39e-19,"T1_vs_CTL","up"
"29","TRINITY_DN131393_c0_g1_i1",7.036979726,2.554018998,92.94294432,5.38e-22,3.11e-19,"T1_vs_CTL","up"
"30","TRINITY_DN58079_c33_g2_i6",5.38991334,6.450500661,92.35172069,7.26e-22,4.05e-19,"T1_vs_CTL","up"
"33","TRINITY_DN60496_c7_g1_i1",5.165163277,5.535974017,86.57495281,1.35e-20,6.83e-18,"T1_vs_CTL","up"
"34","TRINITY_DN37946_c0_g1_i1",6.140794865,2.561011459,86.3829378,1.48e-20,7.3e-18,"T1_vs_CTL","up"
"36","TRINITY_DN65055_c18_g1_i21",6.815316487,2.022241959,84.69941255,3.47e-20,1.62e-17,"T1_vs_CTL","up"
"37","TRINITY_DN1025_c0_g1_i1",5.172337353,8.820058692,82.58408419,1.01e-19,4.58e-17,"T1_vs_CTL","up"
"43","TRINITY_DN57826_c0_g1_i2",9.796946418,0.977435706,76.0704735,2.74e-18,1.07e-15,"T1_vs_CTL","up"
"45","TRINITY_DN65055_c17_g2_i1",6.399455722,1.948609365,75.85523945,3.05e-18,1.14e-15,"T1_vs_CTL","up"
"50","TRINITY_DN60782_c0_g1_i3",8.30439154,1.258461902,74.87886083,5.01e-18,1.68e-15,"T1_vs_CTL","up"
"51","TRINITY_DN3193_c0_g1_i1",6.506764775,2.872447172,73.82039455,8.56e-18,2.81e-15,"T1_vs_CTL","up"
"58","TRINITY_DN65245_c5_g1_i1",8.151946611,1.034397489,70.16893878,5.44e-17,1.57e-14,"T1_vs_CTL","up"
"68","TRINITY_DN48738_c0_g1_i1",9.015142898,1.725860518,67.72460656,1.88e-16,4.63e-14,"T1_vs_CTL","up"
"69","TRINITY_DN56975_c0_g1_i1",5.590760733,1.91441213,67.39180333,2.23e-16,5.4e-14,"T1_vs_CTL","up"
"89","TRINITY_DN34591_c0_g1_i1",5.146602761,2.452637502,60.26360944,8.3e-15,1.56e-12,"T1_vs_CTL","up"
"90","TRINITY_DN57738_c3_g1_i2",8.813992178,1.010645018,60.03713963,9.31e-15,1.73e-12,"T1_vs_CTL","up"
"99","TRINITY_DN25557_c0_g1_i1",6.020216129,1.166721816,58.05885718,2.54e-14,4.3e-12,"T1_vs_CTL","up"
"102","TRINITY_DN61138_c0_g1_i1",5.316623672,1.785343977,57.84588542,2.83e-14,4.65e-12,"T1_vs_CTL","up"
"104","TRINITY_DN62921_c3_g2_i1",6.297985459,1.28467506,57.63509748,3.16e-14,5.08e-12,"T1_vs_CTL","up"
"118","TRINITY_DN59053_c0_g1_i1",5.995431458,1.741853053,54.51746089,1.54e-13,2.19e-11,"T1_vs_CTL","up"
"119","TRINITY_DN47240_c1_g1_i2",5.617878764,2.299839522,54.3092827,1.71e-13,2.41e-11,"T1_vs_CTL","up"
"130","TRINITY_DN45841_c0_g1_i1",5.911576295,1.108496298,52.69070385,3.9e-13,5.03e-11,"T1_vs_CTL","up"
"136","TRINITY_DN53586_c0_g1_i1",8.60290195,0.261696448,51.77907397,6.21e-13,7.65e-11,"T1_vs_CTL","up"
"138","TRINITY_DN82084_c0_g1_i1",8.683428604,-0.053661223,51.14378923,8.58e-13,1.04e-10,"T1_vs_CTL","up"
"139","TRINITY_DN123182_c0_g1_i1",6.405029609,1.192443673,50.79875813,1.02e-12,1.23e-10,"T1_vs_CTL","up"
"148","TRINITY_DN48911_c0_g1_i1",8.456785753,0.196341518,49.45238145,2.03e-12,2.3e-10,"T1_vs_CTL","up"
"151","TRINITY_DN80807_c0_g1_i1",7.139101176,0.354290134,48.75798717,2.9e-12,3.21e-10,"T1_vs_CTL","up"
"155","TRINITY_DN41237_c0_g1_i1",8.416277273,0.10645664,48.4351472,3.41e-12,3.69e-10,"T1_vs_CTL","up"
"168","TRINITY_DN46219_c0_g1_i1",5.703227906,0.621621009,47.38500801,5.83e-12,5.81e-10,"T1_vs_CTL","up"
"171","TRINITY_DN4500_c0_g1_i1",8.357521997,0.027457859,47.26501498,6.2e-12,6.07e-10,"T1_vs_CTL","up"
"172","TRINITY_DN59053_c6_g1_i1",8.429170239,-0.163937382,47.17246066,6.5e-12,6.33e-10,"T1_vs_CTL","up"
"176","TRINITY_DN64593_c1_g1_i1",5.548440854,1.681628134,47.02428465,7.01e-12,6.67e-10,"T1_vs_CTL","up"
"186","TRINITY_DN29806_c0_g1_i1",5.858887225,0.525236553,45.2763978,1.71e-11,1.54e-09,"T1_vs_CTL","up"
"192","TRINITY_DN38830_c0_g1_i1",6.220858596,0.800644715,44.74301295,2.25e-11,1.96e-09,"T1_vs_CTL","up"
"208","TRINITY_DN53447_c0_g1_i1",8.247561978,-0.400557156,43.43501975,4.38e-11,3.53e-09,"T1_vs_CTL","up"
"210","TRINITY_DN23519_c2_g1_i1",8.106008857,-0.139569606,43.2094327,4.92e-11,3.92e-09,"T1_vs_CTL","up"
"225","TRINITY_DN1273_c0_g1_i1",7.905075731,-0.020507437,41.28047728,1.32e-10,9.81e-09,"T1_vs_CTL","up"
"228","TRINITY_DN57734_c0_g1_i1",7.813552016,0.15271173,40.93314452,1.58e-10,1.16e-08,"T1_vs_CTL","up"
"229","TRINITY_DN123020_c0_g1_i1",6.762822257,-0.187233735,40.81739564,1.67e-10,1.22e-08,"T1_vs_CTL","up"
"232","TRINITY_DN56909_c0_g1_i3",7.900535898,-0.214125975,40.28446972,2.2e-10,1.58e-08,"T1_vs_CTL","up"
"242","TRINITY_DN27848_c0_g1_i1",7.913881866,-0.474699473,39.06476107,4.1e-10,2.84e-08,"T1_vs_CTL","up"
